,commune_id,commune_name,tranche,nb_foyers,revenue_reference,impot net,nb_foyers_imposes,revenue_reference_impose,nb_foyers_salaire,montant_salaire,nb_foyers_retraite,montant_retraite
,192,Palavas-les-Flots,Total,"5,741","153,807","10,784","2,591","112,142","3,063","80,905","2,669","65,963"
,193,Pardailhan,Total,163,"2,848",129,50,"1,727",76,"1,680",65,"1,538"
,194,Paulhan,0 à 10 000,546,"2,311",-28,n.c.,n.c.,222,"1,587",181,"1,444"
,194,Paulhan,10 001 à 12 000,160,"1,762",-6,n.c.,n.c.,108,"1,427",n.c.,n.c.
,194,Paulhan,12 001 à 15 000,231,"3,105",-22,n.c.,n.c.,163,"2,579",77,"1,138"
,194,Paulhan,15 001 à 20 000,393,"6,882",-10,106,"1,930",271,"5,325",136,"2,665"
,194,Paulhan,20 001 à 30 000,460,"11,125",123,192,"4,630",280,"7,280",213,"5,146"
,194,Paulhan,30 001 à 50 000,470,"17,683",537,315,"12,109",311,"12,114",205,"6,774"
,194,Paulhan,50 001 à 100 000,149,"9,552",608,132,"8,585",103,"5,786",64,"3,175"
,194,Paulhan,+ de 100 000,22,"4,258",614,n.c.,n.c.,19,"1,571",n.c.,n.c.
,194,Paulhan,Total,"2,431","56,678","1,815",779,"31,602","1,477","37,669",936,"21,264"
,195,Pégairolles-de-Buèges,Total,37,697,13,n.c.,n.c.,18,403,15,314
,196,Pégairolles-de-l'Escalette,Total,101,"2,165",46,30,"1,089",56,"1,072",51,"1,105"
,197,Péret,Total,692,"17,400",658,216,"9,722",411,"11,015",263,"6,043"
,198,Pérols,0 à 10 000,983,"4,207",-38,27,126,396,"2,444",317,"2,715"
,198,Pérols,10 001 à 12 000,241,"2,661",-12,n.c.,n.c.,150,"1,743",81,"1,114"
,198,Pérols,12 001 à 15 000,361,"4,846",-36,n.c.,n.c.,260,"3,686",100,"1,487"
,198,Pérols,15 001 à 20 000,870,"15,265",14,350,"6,362",632,"11,961",262,"4,909"
,198,Pérols,20 001 à 30 000,"1,151","28,268",665,730,"18,000",727,"18,984",467,"11,797"
,198,Pérols,30 001 à 50 000,"1,260","48,454","2,099",977,"38,034",732,"27,483",605,"21,541"
,198,Pérols,50 001 à 100 000,970,"65,675","5,543",917,"62,422",700,"44,392",362,"18,311"
,198,Pérols,+ de 100 000,300,"54,837","9,252",n.c.,n.c.,257,"32,586",62,"3,840"
,198,Pérols,Total,"6,136","224,211","17,486","3,309","178,990","3,854","143,278","2,256","65,714"
,199,Pézenas,0 à 10 000,"1,923","7,684",-82,15,86,712,"4,221",688,"5,772"
,199,Pézenas,10 001 à 12 000,364,"3,992",-28,n.c.,n.c.,204,"2,391",171,"2,393"
,199,Pézenas,12 001 à 15 000,454,"6,097",-16,n.c.,n.c.,336,"5,028",124,"1,956"
,199,Pézenas,15 001 à 20 000,924,"16,077",21,272,"4,956",579,"10,884",358,"6,842"
,199,Pézenas,20 001 à 30 000,924,"22,313",326,483,"11,628",530,"12,951",449,"10,890"
,199,Pézenas,30 001 à 50 000,757,"29,067","1,114",564,"21,990",378,"13,795",426,"15,190"
,199,Pézenas,50 001 à 100 000,376,"24,768","2,022",345,"22,959",221,"12,385",201,"9,875"
,199,Pézenas,+ de 100 000,83,"18,732","2,893",n.c.,n.c.,63,"5,775",34,"2,376"
,199,Pézenas,Total,"5,805","128,731","6,249","1,771","79,992","3,023","67,430","2,451","55,294"
,200,Pézènes-les-Mines,Total,142,"3,263",102,52,"1,850",77,"1,807",67,"1,501"
,201,Pierrerue,Total,175,"3,963",135,70,"2,612",72,"1,566",93,"2,254"
,202,Pignan,0 à 10 000,804,"3,248",-41,n.c.,n.c.,300,"1,836",245,"2,138"
,202,Pignan,10 001 à 12 000,245,"2,713",-19,n.c.,n.c.,154,"1,763",94,"1,296"
,202,Pignan,12 001 à 15 000,308,"4,135",-17,n.c.,n.c.,233,"3,431",84,"1,293"
,202,Pignan,15 001 à 20 000,750,"13,128",40,263,"4,794",534,"10,244",235,"4,620"
,202,Pignan,20 001 à 30 000,943,"23,126",428,530,"12,892",686,"18,042",303,"7,219"
,202,Pignan,30 001 à 50 000,"1,038","40,189","1,393",736,"28,772",716,"27,991",417,"14,444"
,202,Pignan,50 001 à 100 000,634,"41,963","3,079",589,"39,304",533,"33,019",164,"7,181"
,202,Pignan,+ de 100 000,122,"19,230","3,061",n.c.,n.c.,112,"11,928",26,"1,055"
,202,Pignan,Total,"4,844","147,731","7,924","2,249","104,724","3,268","108,254","1,568","39,245"
,203,Pinet,0 à 10 000,225,"1,079",-19,n.c.,n.c.,91,691,72,642
,203,Pinet,10 001 à 12 000,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.
,203,Pinet,12 001 à 15 000,92,"1,237",-4,n.c.,n.c.,67,"1,077",23,370
,203,Pinet,15 001 à 20 000,195,"3,385",-1,55,999,131,"2,548",68,"1,174"
,203,Pinet,20 001 à 30 000,227,"5,557",65,97,"2,360",166,"4,351",67,"1,445"
,203,Pinet,30 001 à 50 000,248,"9,399",231,157,"6,132",169,"6,774",96,"3,162"
,203,Pinet,50 001 à 100 000,99,"6,417",469,88,"5,721",66,"3,618",35,"1,573"
,203,Pinet,+ de 100 000,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.
,203,Pinet,Total,"1,156","28,916",911,412,"16,414",737,"19,786",385,"8,694"
,204,Plaissan,Total,"1,007","25,109",730,345,"13,439",716,"20,644",296,"6,711"
,205,Les Plans,Total,201,"5,180",206,91,"3,531",122,"2,967",81,"2,050"
,206,Poilhes,Total,341,"9,131",428,131,"5,944",195,"5,508",145,"3,639"
,207,Pomérols,0 à 10 000,340,"1,604",-55,n.c.,n.c.,127,894,141,"1,149"
,207,Pomérols,10 001 à 12 000,91,995,-4,n.c.,n.c.,53,684,n.c.,n.c.
,207,Pomérols,12 001 à 15 000,137,"1,856",1,n.c.,n.c.,95,"1,536",40,632
,207,Pomérols,15 001 à 20 000,296,"5,104",4,85,"1,542",193,"3,774",117,"2,137"
,207,Pomérols,20 001 à 30 000,305,"7,423",100,129,"3,123",158,"3,702",174,"4,378"
,207,Pomérols,30 001 à 50 000,337,"12,931",432,237,"9,289",184,"6,876",186,"6,548"
,207,Pomérols,50 001 à 100 000,126,"8,309",699,n.c.,n.c.,77,"4,072",63,"2,810"
,207,Pomérols,+ de 100 000,14,"2,063",339,n.c.,n.c.,13,"1,131",n.c.,n.c.
,207,Pomérols,Total,"1,646","40,286","1,516",595,"24,077",900,"22,669",761,"18,304"
,208,Popian,Total,222,"6,796",322,88,"4,423",148,"4,847",77,"1,927"
,209,Portiragnes,0 à 10 000,427,"1,681",-20,n.c.,n.c.,147,923,146,"1,206"
,209,Portiragnes,10 001 à 12 000,122,"1,344",-10,n.c.,n.c.,72,847,53,744
,209,Portiragnes,12 001 à 15 000,188,"2,540",-7,n.c.,n.c.,137,"2,131",53,820
,209,Portiragnes,15 001 à 20 000,376,"6,536",7,120,"2,171",236,"4,359",154,"2,934"
,209,Portiragnes,20 001 à 30 000,489,"11,900",200,246,"5,926",259,"6,593",247,"6,248"
,209,Portiragnes,30 001 à 50 000,469,"17,980",634,342,"13,389",227,"7,969",290,"10,115"
,209,Portiragnes,50 001 à 100 000,206,"13,248",998,183,"11,861",118,"7,064",93,"4,945"
,209,Portiragnes,+ de 100 000,47,"8,095","1,447",n.c.,n.c.,36,"3,983",15,368
,209,Portiragnes,Total,"2,324","63,325","3,248",946,"41,477","1,232","33,870","1,051","27,380"
,210,Le Pouget,0 à 10 000,259,"1,219",-17,n.c.,n.c.,90,n.c.,91,816
,210,Le Pouget,10 001 à 12 000,83,915,-13,n.c.,n.c.,n.c.,738,28,392
,210,Le Pouget,12 001 à 15 000,102,"1,381",-13,n.c.,n.c.,78,"1,294",n.c.,n.c.
,210,Le Pouget,15 001 à 20 000,235,"4,106",3,69,"1,242",173,"3,390",74,"1,406"
,210,Le Pouget,20 001 à 30 000,243,"5,968",86,109,"2,657",173,"4,580",84,"1,825"
,210,Le Pouget,30 001 à 50 000,279,"10,782",297,183,"7,275",203,"8,220",99,"2,974"
,210,Le Pouget,50 001 à 100 000,100,"6,307",376,n.c.,n.c.,76,"4,312",33,"1,533"
,210,Le Pouget,+ de 100 000,13,"2,326",462,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.
,210,Le Pouget,Total,"1,314","33,003","1,181",473,"19,344",860,"23,836",438,"9,690"
