,commune_id,commune_name,tranche,nb_foyers,revenue_reference,impot net,nb_foyers_imposes,revenue_reference_impose,nb_foyers_salaire,montant_salaire,nb_foyers_retraite,montant_retraite
,246,Entre-Vignes,50 001 à 100 000,159,"10,840",853,148,"10,191",125,"8,203",47,"2,134"
,246,Entre-Vignes,+ de 100 000,40,"8,318","1,192",n.c.,n.c.,35,"4,315",n.c.,n.c.
,246,Entre-Vignes,Total,"1,184","40,745","2,468",563,"30,087",766,"27,687",428,"10,778"
,247,Saint-Clément-de-Rivière,0 à 10 000,372,"1,599",-44,n.c.,n.c.,173,"1,011",74,573
,247,Saint-Clément-de-Rivière,10 001 à 12 000,63,695,-5,n.c.,n.c.,42,478,19,253
,247,Saint-Clément-de-Rivière,12 001 à 15 000,105,"1,412",-8,n.c.,n.c.,78,"1,102",30,460
,247,Saint-Clément-de-Rivière,15 001 à 20 000,211,"3,692",-13,81,"1,475",142,"2,623",65,"1,289"
,247,Saint-Clément-de-Rivière,20 001 à 30 000,341,"8,498",199,210,"5,258",216,"5,501",134,"3,459"
,247,Saint-Clément-de-Rivière,30 001 à 50 000,533,"20,912",969,424,"16,710",236,"8,724",327,"12,419"
,247,Saint-Clément-de-Rivière,50 001 à 100 000,720,"50,385","4,408",680,"47,897",370,"22,887",430,"25,377"
,247,Saint-Clément-de-Rivière,+ de 100 000,316,"63,378","11,069",305,"61,698",257,"33,983",92,"6,287"
,247,Saint-Clément-de-Rivière,Total,"2,661","150,572","16,576","1,707","133,098","1,514","76,311","1,171","50,117"
,248,Sainte-Croix-de-Quintillargues,Total,458,"17,889","1,049",259,"13,862",342,"14,099",122,"3,790"
,249,Saint-Drézéry,0 à 10 000,184,904,-6,n.c.,n.c.,95,640,37,373
,249,Saint-Drézéry,10 001 à 12 000,62,680,-3,n.c.,n.c.,46,594,n.c.,n.c.
,249,Saint-Drézéry,12 001 à 15 000,90,"1,216",-6,n.c.,n.c.,71,"1,095",19,289
,249,Saint-Drézéry,15 001 à 20 000,205,"3,565",8,58,"1,063",160,"3,215",49,955
,249,Saint-Drézéry,20 001 à 30 000,259,"6,368",120,144,"3,548",184,"5,075",72,"1,831"
,249,Saint-Drézéry,30 001 à 50 000,407,"16,158",524,295,"11,779",301,"12,169",148,"4,894"
,249,Saint-Drézéry,50 001 à 100 000,357,"24,045","1,726",325,"22,100",294,"19,120",92,"4,400"
,249,Saint-Drézéry,+ de 100 000,70,"10,045","1,488",n.c.,n.c.,68,"8,302",n.c.,n.c.
,249,Saint-Drézéry,Total,"1,634","62,980","3,850",892,"48,074","1,219","50,211",440,"13,110"
,250,Saint-Étienne-d'Albagnan,Total,215,"4,009",87,65,"2,156",107,"2,210",95,"2,082"
,251,Saint-Étienne-de-Gourgas,Total,262,"7,225",312,102,"4,751",150,"3,696",107,"3,091"
,252,Saint-Étienne-Estréchoux,Total,165,"3,360",71,53,"1,753",72,"1,713",86,"1,804"
,253,Saint-Félix-de-l'Héras,Total,24,449,-3,n.c.,n.c.,13,173,n.c.,n.c.
,254,Saint-Félix-de-Lodez,Total,679,"19,801",974,281,"13,033",461,"14,673",208,"4,986"
,255,Saint-Gély-du-Fesc,0 à 10 000,605,"2,583",-25,18,75,248,"1,498",168,"1,410"
,255,Saint-Gély-du-Fesc,10 001 à 12 000,177,"1,954",-25,n.c.,n.c.,100,"1,180",77,"1,059"
,255,Saint-Gély-du-Fesc,12 001 à 15 000,265,"3,562",-20,n.c.,n.c.,181,"2,585",84,"1,252"
,255,Saint-Gély-du-Fesc,15 001 à 20 000,642,"11,237",20,242,"4,421",430,"8,300",221,"4,308"
,255,Saint-Gély-du-Fesc,20 001 à 30 000,947,"23,257",478,579,"14,186",612,"15,713",353,"9,029"
,255,Saint-Gély-du-Fesc,30 001 à 50 000,"1,255","48,976","2,044",959,"37,964",707,"25,882",657,"24,254"
,255,Saint-Gély-du-Fesc,50 001 à 100 000,"1,343","92,588","7,165","1,243","86,272",943,"60,423",568,"29,359"
,255,Saint-Gély-du-Fesc,+ de 100 000,503,"113,936","20,409",n.c.,n.c.,417,"54,643",122,"7,523"
,255,Saint-Gély-du-Fesc,Total,"5,737","298,093","30,046","3,547","256,208","3,638","170,224","2,250","78,194"
,256,Saint-Geniès-des-Mourgues,0 à 10 000,134,714,-9,n.c.,n.c.,52,377,51,469
,256,Saint-Geniès-des-Mourgues,10 001 à 12 000,53,591,-8,n.c.,n.c.,31,324,19,268
,256,Saint-Geniès-des-Mourgues,12 001 à 15 000,70,942,-2,n.c.,n.c.,51,747,20,304
,256,Saint-Geniès-des-Mourgues,15 001 à 20 000,164,"2,899",11,62,"1,144",115,"2,265",46,778
,256,Saint-Geniès-des-Mourgues,20 001 à 30 000,191,"4,656",88,107,"2,627",139,"3,663",61,"1,401"
,256,Saint-Geniès-des-Mourgues,30 001 à 50 000,246,"9,575",342,183,"7,225",162,"6,287",107,"3,641"
,256,Saint-Geniès-des-Mourgues,50 001 à 100 000,246,"16,656","1,238",231,"15,763",201,"13,617",66,"3,234"
,256,Saint-Geniès-des-Mourgues,+ de 100 000,67,"11,256","1,721",n.c.,n.c.,63,"8,200",11,603
,256,Saint-Geniès-des-Mourgues,Total,"1,171","47,289","3,380",651,"37,792",814,"35,480",381,"10,699"
,257,Saint-Geniès-de-Varensal,Total,126,"1,799",35,25,901,56,833,56,"1,215"
,258,Saint-Geniès-de-Fontedit,Total,991,"27,577","1,243",420,"18,367",594,"17,246",390,"10,312"
,259,Saint-Georges-d'Orques,0 à 10 000,582,"2,339",-32,n.c.,n.c.,243,"1,535",143,"1,274"
,259,Saint-Georges-d'Orques,10 001 à 12 000,182,"2,012",-7,n.c.,n.c.,117,"1,393",68,987
,259,Saint-Georges-d'Orques,12 001 à 15 000,221,"2,979",-6,n.c.,n.c.,165,"2,475",56,858
,259,Saint-Georges-d'Orques,15 001 à 20 000,510,"8,937",13,168,"3,079",372,"7,237",145,"2,770"
,259,Saint-Georges-d'Orques,20 001 à 30 000,734,"17,887",323,420,"10,202",531,"13,576",236,"5,831"
,259,Saint-Georges-d'Orques,30 001 à 50 000,690,"26,763","1,034",526,"20,769",418,"15,490",332,"11,970"
,259,Saint-Georges-d'Orques,50 001 à 100 000,497,"33,284","2,552",471,"31,731",360,"22,023",200,"9,335"
,259,Saint-Georges-d'Orques,+ de 100 000,112,"19,923","3,756",n.c.,n.c.,88,"10,050",31,"2,294"
,259,Saint-Georges-d'Orques,Total,"3,528","114,123","7,632","1,712","85,605","2,294","73,779","1,211","35,320"
,260,Saint-Gervais-sur-Mare,Total,581,"10,963",292,154,"5,735",238,"5,134",327,"6,242"
,261,Saint-Guilhem-le-Désert,Total,167,"3,542",155,55,"2,236",83,"1,598",70,"1,447"
,262,Saint-Guiraud,Total,149,"5,003",282,67,"3,654",86,"2,985",66,"1,911"
,263,Saint-Hilaire-de-Beauvoir,Total,255,"8,036",377,122,"5,639",188,"6,347",77,"1,742"
,264,Saint-Jean-de-Buèges,Total,125,"2,512",79,35,"1,317",73,"1,558",53,"1,034"
,265,Saint-Jean-de-Cornies,Total,431,"20,036","1,858",238,"15,958",321,"14,749",128,"4,573"
,266,Saint-Jean-de-Cuculles,Total,287,"14,722","1,373",181,"12,798",201,"9,638",94,"2,936"
,267,Saint-Jean-de-Fos,0 à 10 000,219,984,-24,n.c.,n.c.,87,563,73,643
,267,Saint-Jean-de-Fos,10 001 à 12 000,62,682,-6,n.c.,n.c.,38,480,n.c.,n.c.
,267,Saint-Jean-de-Fos,12 001 à 15 000,88,"1,180",-4,n.c.,n.c.,65,"1,051",25,357
,267,Saint-Jean-de-Fos,15 001 à 20 000,189,"3,283",-1,61,"1,101",117,"2,290",69,"1,298"
,267,Saint-Jean-de-Fos,20 001 à 30 000,200,"4,841",62,89,"2,142",129,"3,370",84,"1,966"
,267,Saint-Jean-de-Fos,30 001 à 50 000,209,"7,975",202,141,"5,490",141,"5,227",92,"2,887"
,267,Saint-Jean-de-Fos,50 001 à 100 000,94,"6,159",416,n.c.,n.c.,72,"4,281",33,"1,472"
,267,Saint-Jean-de-Fos,+ de 100 000,14,"1,907",322,n.c.,n.c.,13,"1,461",n.c.,n.c.
,267,Saint-Jean-de-Fos,Total,"1,075","27,011",968,394,"16,279",662,"18,725",400,"9,133"
,268,Saint-Jean-de-la-Blaquière,Total,400,"11,066",412,134,"6,594",257,"6,917",141,"3,444"
,269,Saint-Jean-de-Minervois,Total,97,"1,828",33,26,901,41,708,54,"1,191"
,270,Saint-Jean-de-Védas,0 à 10 000,"1,233","5,141",-47,23,106,560,"3,441",299,"2,469"
,270,Saint-Jean-de-Védas,10 001 à 12 000,316,"3,489",-21,n.c.,n.c.,215,"2,485",97,"1,412"
,270,Saint-Jean-de-Védas,12 001 à 15 000,491,"6,602",-33,n.c.,n.c.,345,"5,168",156,"2,349"
,270,Saint-Jean-de-Védas,15 001 à 20 000,"1,180","20,704",19,458,"8,393",876,"16,924",322,"6,157"
,270,Saint-Jean-de-Védas,20 001 à 30 000,"1,614","39,472",875,967,"23,628","1,180","30,898",489,"12,098"
,270,Saint-Jean-de-Védas,30 001 à 50 000,"1,646","63,400","2,679","1,260","48,998","1,065","40,828",707,"24,810"
,270,Saint-Jean-de-Védas,50 001 à 100 000,"1,179","78,901","6,125","1,084","73,125",892,"55,447",411,"19,745"
,270,Saint-Jean-de-Védas,+ de 100 000,350,"65,086","10,378",n.c.,n.c.,301,"31,957",84,"3,884"
,270,Saint-Jean-de-Védas,Total,"8,009","282,795","19,976","4,153","219,119","5,434","187,148","2,565","72,925"
,271,Saint-Julien,Total,158,"3,054",108,47,"1,767",81,"1,585",74,"1,530"
,272,Saint-Just,0 à 10 000,249,"1,105",-21,n.c.,n.c.,108,719,72,621
,272,Saint-Just,10 001 à 12 000,74,818,-1,n.c.,n.c.,44,536,28,398
,272,Saint-Just,12 001 à 15 000,130,"1,744",-3,n.c.,n.c.,94,"1,450",41,648
,272,Saint-Just,15 001 à 20 000,271,"4,726",15,94,"1,713",203,"3,951",80,"1,489"
,272,Saint-Just,20 001 à 30 000,353,"8,562",144,187,"4,475",248,"6,463",121,"2,911"
,272,Saint-Just,30 001 à 50 000,395,"15,580",447,265,"10,667",296,"12,371",132,"4,121"
,272,Saint-Just,50 001 à 100 000,257,"16,303","1,042",237,"15,162",210,"13,605",66,"2,897"
,272,Saint-Just,+ de 100 000,41,"6,964","1,003",n.c.,n.c.,35,"3,323",12,540
,272,Saint-Just,Total,"1,770","55,802","2,625",829,"39,038","1,238","42,419",552,"13,623"
,273,Saint-Martin-de-l'Arçon,Total,84,"1,837",57,31,"1,106",39,732,42,964
,274,Saint-Martin-de-Londres,0 à 10 000,246,"1,259",-6,n.c.,n.c.,118,862,78,708
,274,Saint-Martin-de-Londres,10 001 à 12 000,85,938,-2,n.c.,n.c.,47,595,40,573
,274,Saint-Martin-de-Londres,12 001 à 15 000,119,"1,591",-7,n.c.,n.c.,91,"1,439",n.c.,n.c.
,274,Saint-Martin-de-Londres,15 001 à 20 000,191,"3,328",8,64,"1,160",129,"2,520",64,"1,192"
,274,Saint-Martin-de-Londres,20 001 à 30 000,281,"6,851",131,149,"3,647",168,"4,401",125,"2,993"
,274,Saint-Martin-de-Londres,30 001 à 50 000,344,"13,464",489,253,"9,979",245,"9,751",134,"4,453"
,274,Saint-Martin-de-Londres,50 001 à 100 000,248,"16,453","1,153",229,"15,231",192,"11,981",75,"3,576"
,274,Saint-Martin-de-Londres,+ de 100 000,35,"5,323",889,n.c.,n.c.,28,"2,866",n.c.,n.c.
,274,Saint-Martin-de-Londres,Total,"1,549","49,207","2,655",736,"35,394","1,018","34,414",555,"14,650"
,276,Saint-Mathieu-de-Tréviers,0 à 10 000,435,"1,918",-17,n.c.,n.c.,204,"1,338",124,985
,276,Saint-Mathieu-de-Tréviers,10 001 à 12 000,110,"1,198",-14,n.c.,n.c.,68,782,39,527
,276,Saint-Mathieu-de-Tréviers,12 001 à 15 000,180,"2,425",-13,n.c.,n.c.,134,"2,027",51,784
,276,Saint-Mathieu-de-Tréviers,15 001 à 20 000,382,"6,691",13,142,"2,580",280,"5,620",103,"1,976"
,276,Saint-Mathieu-de-Tréviers,20 001 à 30 000,524,"12,955",190,261,"6,434",378,"9,908",183,"4,383"
,276,Saint-Mathieu-de-Tréviers,30 001 à 50 000,633,"24,570",718,441,"17,470",452,"18,028",248,"8,266"
,276,Saint-Mathieu-de-Tréviers,50 001 à 100 000,461,"30,644","2,039",421,"28,168",371,"24,105",140,"6,661"
,276,Saint-Mathieu-de-Tréviers,+ de 100 000,76,"13,370","1,740",n.c.,n.c.,65,"6,195",20,"1,328"
,276,Saint-Mathieu-de-Tréviers,Total,"2,801","93,770","4,655","1,346","68,078","1,952","68,003",908,"24,909"
,277,Saint-Maurice-Navacelles,Total,119,"2,042",43,30,"1,036",59,"1,131",48,"1,019"
,278,Saint-Michel,Total,41,890,33,14,551,20,483,19,337
,279,Saint-Nazaire-de-Ladarez,Total,227,"4,191",61,47,"1,762",126,"2,708",102,"1,777"
,280,Saint-Nazaire-de-Pézan,Total,354,"11,040",608,151,"7,845",229,"7,064",124,"3,125"
,281,Saint-Pargoire,0 à 10 000,282,"1,376",-48,n.c.,n.c.,116,871,98,911
,281,Saint-Pargoire,10 001 à 12 000,100,"1,098",-7,n.c.,n.c.,n.c.,n.c.,35,497
,281,Saint-Pargoire,12 001 à 15 000,139,"1,882",-7,n.c.,n.c.,110,"1,886",n.c.,n.c.
,281,Saint-Pargoire,15 001 à 20 000,243,"4,229",4,63,"1,146",164,"3,389",84,"1,640"
,281,Saint-Pargoire,20 001 à 30 000,262,"6,367",63,105,"2,539",188,"5,122",87,"2,135"
,281,Saint-Pargoire,30 001 à 50 000,297,"11,257",253,167,"6,506",205,"8,494",120,"3,821"
,281,Saint-Pargoire,50 001 à 100 000,104,"6,736",403,91,"5,992",83,"5,318",31,"1,298"
,281,Saint-Pargoire,+ de 100 000,12,"2,336",557,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.
,281,Saint-Pargoire,Total,"1,439","35,280","1,218",444,"18,575",938,"26,865",486,"10,903"
,282,Saint-Paul-et-Valmalle,Total,717,"27,877","1,587",335,"20,394",510,"18,182",224,"5,693"
,283,Saint-Pierre-de-la-Fage,Total,83,"1,876",71,26,"1,044",49,"1,159",38,819
,284,Saint-Pons-de-Thomières,0 à 10 000,490,"1,677",-12,n.c.,n.c.,130,701,188,"1,528"
,284,Saint-Pons-de-Thomières,10 001 à 12 000,82,905,-13,n.c.,n.c.,n.c.,n.c.,49,713
,284,Saint-Pons-de-Thomières,12 001 à 15 000,105,"1,415",-2,n.c.,n.c.,55,817,48,776
,284,Saint-Pons-de-Thomières,15 001 à 20 000,197,"3,429",-10,78,"1,411",112,"2,107",91,"1,768"
,284,Saint-Pons-de-Thomières,20 001 à 30 000,179,"4,308",77,99,"2,392",102,"2,517",84,"2,096"
,284,Saint-Pons-de-Thomières,30 001 à 50 000,124,"4,611",147,91,"3,487",60,"2,103",77,"2,633"
,284,Saint-Pons-de-Thomières,50 001 à 100 000,n.c.,n.c.,n.c.,n.c.,n.c.,35,"1,842",n.c.,n.c.
,284,Saint-Pons-de-Thomières,+ de 100 000,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.,n.c.
,284,Saint-Pons-de-Thomières,Total,"1,228","20,908",639,329,"11,410",531,"10,743",559,"10,496"
,285,Saint-Pons-de-Mauchiens,Total,416,"10,815",547,153,"7,207",244,"6,982",152,"3,900"
,286,Saint-Privat,Total,276,"5,551",242,77,"3,098",165,"3,658",90,"1,719"
,287,Saint-Saturnin-de-Lucian,Total,175,"4,627",188,62,"2,955",116,"2,710",63,"1,318"
,288,Saint-Sériès,Total,564,"21,139","1,691",305,"17,035",394,"15,547",172,"4,516"
,289,Saint-Thibéry,0 à 10 000,434,"1,897",-15,n.c.,n.c.,176,"1,214",134,"1,203"
,289,Saint-Thibéry,10 001 à 12 000,116,"1,280",-9,n.c.,n.c.,70,893,55,731
,289,Saint-Thibéry,12 001 à 15 000,200,"2,694",-13,n.c.,n.c.,154,"2,471",49,n.c.
,289,Saint-Thibéry,15 001 à 20 000,341,"5,917",4,104,"1,869",235,"4,546",117,"2,230"
,289,Saint-Thibéry,20 001 à 30 000,366,"8,937",130,171,"4,140",269,"7,229",124,"2,890"
,289,Saint-Thibéry,30 001 à 50 000,347,"13,158",293,210,"8,094",259,"10,088",115,"3,568"
,289,Saint-Thibéry,50 001 à 100 000,108,"6,809",494,n.c.,n.c.,82,"4,480",n.c.,"1,444"
,289,Saint-Thibéry,+ de 100 000,20,"3,109",606,n.c.,n.c.,17,"1,684",n.c.,n.c.
,289,Saint-Thibéry,Total,"1,932","43,800","1,489",615,"23,908","1,262","32,603",632,"13,020"
,290,Saint-Vincent-de-Barbeyrargues,Total,401,"16,659","1,357",221,"13,086",242,"10,261",152,"5,103"
,291,Saint-Vincent-d'Olargues,Total,254,"4,755",109,77,"2,568",114,"2,237",126,"2,567"
,292,Salasc,Total,239,"5,595",215,82,"3,481",141,"3,344",89,"2,181"
,293,La Salvetat-sur-Agout,Total,776,"15,510",505,261,"9,089",393,"8,278",358,"7,056"
,294,Saturargues,Total,589,"17,485",781,261,"12,208",431,"14,436",154,"3,624"
,295,Saussan,0 à 10 000,133,n.c.,n.c.,n.c.,n.c.,59,365,31,260
,295,Saussan,10 001 à 12 000,25,n.c.,n.c.,n.c.,n.c.,15,171,n.c.,n.c.
,295,Saussan,12 001 à 15 000,60,807,-3,n.c.,n.c.,42,657,17,251
,295,Saussan,15 001 à 20 000,113,"1,990",6,47,856,81,"1,618",30,598
,295,Saussan,20 001 à 30 000,213,"5,233",102,122,"3,003",153,"4,094",69,"1,666"
,295,Saussan,30 001 à 50 000,281,"11,094",401,206,"8,259",198,"7,919",105,"3,617"
,295,Saussan,50 001 à 100 000,194,"13,093","1,000",n.c.,n.c.,163,"10,214",53,"2,267"
,295,Saussan,+ de 100 000,37,"5,847",889,n.c.,n.c.,34,"3,546",n.c.,n.c.
,295,Saussan,Total,"1,056","38,898","2,376",599,"30,338",745,"28,585",322,"8,986"
,296,Saussines,Total,597,"19,583","1,123",294,"14,517",407,"13,838",196,"5,760"
,297,Sauteyrargues,Total,238,"8,132",466,105,"5,925",168,"5,735",65,"1,680"
,298,Sauvian,0 à 10 000,628,"2,830",-32,n.c.,n.c.,250,"1,701",222,"1,984"
,298,Sauvian,10 001 à 12 000,159,"1,758",-16,n.c.,n.c.,93,"1,126",65,920
,298,Sauvian,12 001 à 15 000,250,"3,365",-9,n.c.,n.c.,181,"2,743",79,"1,201"
,298,Sauvian,15 001 à 20 000,515,"8,966",23,180,"3,262",337,"6,430",201,"3,724"
,298,Sauvian,20 001 à 30 000,672,"16,557",244,317,"7,792",360,"9,034",358,"9,185"
,298,Sauvian,30 001 à 50 000,771,"29,913",818,533,"21,106",406,"15,328",441,"16,153"
,298,Sauvian,50 001 à 100 000,336,"21,619","1,445",311,"20,175",237,"14,119",130,"6,006"
,298,Sauvian,+ de 100 000,64,"11,931","1,950",n.c.,n.c.,52,"5,279",14,599
,298,Sauvian,Total,"3,395","96,940","4,424","1,412","63,979","1,916","55,761","1,510","39,771"
,299,Sérignan,0 à 10 000,"1,262","5,509",-44,16,70,490,"3,253",453,"3,944"
,299,Sérignan,10 001 à 12 000,268,"2,975",-23,n.c.,n.c.,146,"1,747",136,"1,841"
,299,Sérignan,12 001 à 15 000,479,"6,440",-18,n.c.,n.c.,331,"5,015",150,"2,339"
,299,Sérignan,15 001 à 20 000,973,"16,988",30,335,"6,069",558,"10,409",453,"8,958"
,299,Sérignan,20 001 à 30 000,"1,157","28,271",502,587,"14,256",625,"15,117",625,"15,617"
,299,Sérignan,30 001 à 50 000,"1,102","42,404","1,464",819,"32,049",552,"19,785",673,"23,989"
,299,Sérignan,50 001 à 100 000,472,"30,890","2,276",426,"28,018",286,"16,548",232,"11,022"
,299,Sérignan,+ de 100 000,77,"14,668","2,724",n.c.,n.c.,61,"6,279",26,"1,098"
,299,Sérignan,Total,"5,790","148,145","6,910","2,272","95,280","3,049","78,152","2,748","68,809"
,300,Servian,0 à 10 000,720,"3,079",-52,n.c.,n.c.,282,"1,951",234,"2,090"
,300,Servian,10 001 à 12 000,178,"1,959",-8,n.c.,n.c.,115,"1,377",n.c.,n.c.
,300,Servian,12 001 à 15 000,243,"3,297",-26,n.c.,n.c.,178,"2,762",77,"1,127"
,300,Servian,15 001 à 20 000,475,"8,315",3,134,"2,423",315,"6,073",185,"3,486"
,300,Servian,20 001 à 30 000,547,"13,397",184,255,"6,188",353,"9,042",222,"5,548"
,300,Servian,30 001 à 50 000,632,"24,323",652,417,"16,383",426,"16,712",277,"9,352"
,300,Servian,50 001 à 100 000,317,"20,255","1,306",288,"18,579",258,"14,800",96,"4,134"
,300,Servian,+ de 100 000,42,"7,079","1,096",n.c.,n.c.,33,"3,153",n.c.,n.c.
,300,Servian,Total,"3,154","81,705","3,156","1,150","50,757","1,960","55,871","1,167","27,250"
,301,Sète,0 à 10 000,"8,434","31,584",-284,69,357,"2,782","16,220","3,110","25,797"
,301,Sète,10 001 à 12 000,"1,784","19,698",-102,n.c.,n.c.,867,"10,039",978,"13,923"
,301,Sète,12 001 à 15 000,"2,309","30,908",-105,40,531,"1,477","21,226",919,"14,463"
,301,Sète,15 001 à 20 000,"4,856","84,838",163,"1,655","30,183","2,837","52,828","2,203","43,239"
,301,Sète,20 001 à 30 000,"5,647","136,601","2,808","3,276","79,312","3,184","78,366","2,793","70,409"
,301,Sète,30 001 à 50 000,"4,604","175,452","8,236","3,661","141,431","2,317","83,455","2,719","96,241"
,301,Sète,50 001 à 100 000,"2,167","142,645","13,140","2,060","136,331","1,218","67,325","1,185","61,475"
,301,Sète,+ de 100 000,600,"158,530","28,808",n.c.,n.c.,432,"46,912",238,"14,995"
,301,Sète,Total,"30,401","780,256","52,664","11,370","545,220","15,114","376,369","14,145","340,541"
,302,Siran,Total,443,"11,109",487,155,"6,232",200,"4,975",233,"5,663"
,303,Sorbs,Total,34,548,-6,n.c.,n.c.,15,265,17,319
,304,Soubès,Total,605,"14,144",398,207,"7,896",341,"8,396",279,"6,127"
,305,Le Soulié,Total,87,"1,806",76,30,"1,215",30,717,48,"1,108"
,306,Soumont,Total,159,"2,733",83,43,"1,525",93,"1,744",47,"1,006"
,307,Sussargues,0 à 10 000,190,871,-4,n.c.,n.c.,103,650,38,298
,307,Sussargues,10 001 à 12 000,57,626,-1,n.c.,n.c.,34,394,25,345
,307,Sussargues,12 001 à 15 000,97,"1,294",-11,n.c.,n.c.,69,"1,067",31,410
,307,Sussargues,15 001 à 20 000,186,"3,252",-7,63,"1,146",140,"2,773",46,889
,307,Sussargues,20 001 à 30 000,308,"7,460",139,182,"4,399",201,"5,185",120,"2,975"
,307,Sussargues,30 001 à 50 000,354,"13,970",554,260,"10,435",205,"8,140",171,"6,312"
,307,Sussargues,50 001 à 100 000,323,"22,460","1,724",301,"21,064",247,"17,478",102,"4,959"
,307,Sussargues,+ de 100 000,81,"12,362","1,908",n.c.,n.c.,78,"9,348",11,568
,307,Sussargues,Total,"1,596","62,296","4,302",896,"49,499","1,077","45,035",544,"16,756"
,308,Taussac-la-Billière,Total,278,"7,039",221,119,"4,430",167,"4,498",113,"2,818"
,309,Teyran,0 à 10 000,287,"1,241",-17,n.c.,n.c.,130,847,82,629
,309,Teyran,10 001 à 12 000,87,958,-10,n.c.,n.c.,47,536,42,581
,309,Teyran,12 001 à 15 000,120,"1,598",-5,n.c.,n.c.,83,"1,222",36,595
,309,Teyran,15 001 à 20 000,326,"5,700",-5,106,"1,915",209,"3,957",125,"2,411"
,309,Teyran,20 001 à 30 000,458,"11,172",202,264,"6,483",282,"6,992",201,"5,038"
,309,Teyran,30 001 à 50 000,653,"25,578",947,491,"19,363",345,"12,408",378,"13,688"
,309,Teyran,50 001 à 100 000,606,"41,252","3,151",551,"37,786",431,"27,415",244,"12,093"
,309,Teyran,+ de 100 000,170,"32,777","5,712",n.c.,n.c.,141,"17,229",46,"2,888"
,309,Teyran,Total,"2,707","120,276","9,976","1,582","97,935","1,668","70,606","1,154","37,923"
,310,Thézan-lès-Béziers,0 à 10 000,346,"1,622",-39,n.c.,n.c.,118,774,136,"1,242"
,310,Thézan-lès-Béziers,10 001 à 12 000,99,"1,090",-2,n.c.,n.c.,57,685,38,533
,310,Thézan-lès-Béziers,12 001 à 15 000,129,"1,725",-20,n.c.,n.c.,89,"1,342",41,646
,310,Thézan-lès-Béziers,15 001 à 20 000,330,"5,745",-4,102,"1,849",224,"4,304",112,"2,183"
,310,Thézan-lès-Béziers,20 001 à 30 000,324,"7,762",117,155,"3,697",210,"5,182",137,"3,275"
,310,Thézan-lès-Béziers,30 001 à 50 000,385,"14,808",417,267,"10,460",262,"9,826",172,"5,328"
,310,Thézan-lès-Béziers,50 001 à 100 000,174,"11,408",824,n.c.,n.c.,120,"7,345",61,"2,955"
,310,Thézan-lès-Béziers,+ de 100 000,45,"7,699","1,123",n.c.,n.c.,36,"3,092",13,509
,310,Thézan-lès-Béziers,Total,"1,832","51,859","2,417",741,"34,374","1,116","32,551",710,"16,671"
,311,Tourbes,0 à 10 000,152,732,-10,n.c.,n.c.,70,457,45,398
,311,Tourbes,10 001 à 12 000,57,625,-9,n.c.,n.c.,28,351,29,414
,311,Tourbes,12 001 à 15 000,84,"1,125",-6,n.c.,n.c.,56,829,31,499
,311,Tourbes,15 001 à 20 000,167,"2,912",-1,52,937,126,"2,475",47,906
,311,Tourbes,20 001 à 30 000,184,"4,440",55,82,"1,998",118,"3,006",77,"1,839"
,311,Tourbes,30 001 à 50 000,238,"9,169",275,163,"6,389",147,"5,418",119,"4,079"
,311,Tourbes,50 001 à 100 000,156,"10,261",754,n.c.,n.c.,118,"6,920",62,"2,578"
,311,Tourbes,+ de 100 000,43,"7,515","1,164",n.c.,n.c.,29,"2,270",15,882
,311,Tourbes,Total,"1,081","36,779","2,222",493,"26,689",692,"21,726",425,"11,595"
,312,La Tour-sur-Orb,Total,848,"20,588",627,301,"11,691",488,"12,551",367,"8,391"
,313,Tressan,Total,439,"11,846",769,147,"7,173",307,"8,896",110,"2,421"
,314,Le Triadou,Total,351,"14,091",864,200,"10,916",252,"10,273",105,"2,858"
,315,Usclas-d'Hérault,Total,228,"6,808",311,84,"4,194",146,"4,516",88,"2,027"
,316,Usclas-du-Bosc,Total,137,"4,434",262,58,"3,019",91,"3,208",43,"1,084"
,317,La Vacquerie-et-Saint-Martin-de-Castries,Total,136,"2,908",82,41,"1,557",66,"1,471",38,871
,318,Vacquières,Total,396,"12,080",484,160,"7,615",292,"9,931",97,"2,173"
,319,Vailhan,Total,96,"1,892",19,23,855,52,"1,044",50,834
,320,Vailhauquès,0 à 10 000,155,655,-12,n.c.,n.c.,79,619,32,287
,320,Vailhauquès,10 001 à 12 000,44,485,-4,n.c.,n.c.,29,343,n.c.,n.c.
,320,Vailhauquès,12 001 à 15 000,81,"1,097",-2,n.c.,n.c.,63,981,18,272
,320,Vailhauquès,15 001 à 20 000,182,"3,188",-5,60,"1,091",140,"2,798",54,"1,007"
,320,Vailhauquès,20 001 à 30 000,254,"6,206",94,129,"3,140",184,"4,868",79,"1,892"
,320,Vailhauquès,30 001 à 50 000,322,"12,655",432,238,"9,506",214,"8,488",147,"5,032"
,320,Vailhauquès,50 001 à 100 000,310,"20,684","1,587",289,"19,415",255,"15,745",109,"4,768"
,320,Vailhauquès,+ de 100 000,53,"7,520","1,040",n.c.,n.c.,51,"5,406",n.c.,n.c.
,320,Vailhauquès,Total,"1,401","52,490","3,129",772,"40,481","1,015","39,248",466,"13,895"
